%2A.aln.sam	%2A	sebastes_spp
HH160915-02-39_S181_L001_R1_001.fastq.gz.aln.sam	HH160915-02-39_S181_L001_R1_001.fastq.gz	sebastes_spp
HH160915-02-41_S182_L001_R1_001.fastq.gz.aln.sam	HH160915-02-41_S182_L001_R1_001.fastq.gz	sebastes_spp
HH160915-02-44_S183_L001_R1_001.fastq.gz.aln.sam	HH160915-02-44_S183_L001_R1_001.fastq.gz	sebastes_spp
HH160915-02-48_S184_L001_R1_001.fastq.gz.aln.sam	HH160915-02-48_S184_L001_R1_001.fastq.gz	sebastes_spp
HH160915-03-31_S185_L001_R1_001.fastq.gz.aln.sam	HH160915-03-31_S185_L001_R1_001.fastq.gz	sebastes_spp
HH160915-03-36_S186_L001_R1_001.fastq.gz.aln.sam	HH160915-03-36_S186_L001_R1_001.fastq.gz	sebastes_spp
HH160915-03-46_S187_L001_R1_001.fastq.gz.aln.sam	HH160915-03-46_S187_L001_R1_001.fastq.gz	sebastes_spp
HH160915-03-51_S188_L001_R1_001.fastq.gz.aln.sam	HH160915-03-51_S188_L001_R1_001.fastq.gz	sebastes_spp
HH160915-04-105_S125_L001_R1_001.fastq.gz.aln.sam	HH160915-04-105_S125_L001_R1_001.fastq.gz	sebastes_spp
HH160915-04-114_S126_L001_R1_001.fastq.gz.aln.sam	HH160915-04-114_S126_L001_R1_001.fastq.gz	sebastes_spp
HH160915-04-79_S189_L001_R1_001.fastq.gz.aln.sam	HH160915-04-79_S189_L001_R1_001.fastq.gz	sebastes_spp
HH160915-04-90_S190_L001_R1_001.fastq.gz.aln.sam	HH160915-04-90_S190_L001_R1_001.fastq.gz	sebastes_spp
HH170516-02-21_S373_L001_R1_001.fastq.gz.aln.sam	HH170516-02-21_S373_L001_R1_001.fastq.gz	sebastes_spp
HH170516-03-37_S374_L001_R1_001.fastq.gz.aln.sam	HH170516-03-37_S374_L001_R1_001.fastq.gz	sebastes_spp
HH170516-04-59_S375_L001_R1_001.fastq.gz.aln.sam	HH170516-04-59_S375_L001_R1_001.fastq.gz	sebastes_spp
HH180803-02-03_S261_L001_R1_001.fastq.gz.aln.sam	HH180803-02-03_S261_L001_R1_001.fastq.gz	sebastes_spp
HH180817-01-02_S262_L001_R1_001.fastq.gz.aln.sam	HH180817-01-02_S262_L001_R1_001.fastq.gz	sebastes_spp
HH180817-01-04_S263_L001_R1_001.fastq.gz.aln.sam	HH180817-01-04_S263_L001_R1_001.fastq.gz	sebastes_spp
HH180829-03-01_S265_L001_R1_001.fastq.gz.aln.sam	HH180829-03-01_S265_L001_R1_001.fastq.gz	sebastes_spp
HH190601-01-13_S267_L001_R1_001.fastq.gz.aln.sam	HH190601-01-13_S267_L001_R1_001.fastq.gz	sebastes_spp
HH190601-02-18_S268_L001_R1_001.fastq.gz.aln.sam	HH190601-02-18_S268_L001_R1_001.fastq.gz	sebastes_spp
HH190601-02-21_S269_L001_R1_001.fastq.gz.aln.sam	HH190601-02-21_S269_L001_R1_001.fastq.gz	sebastes_spp
HH190601-04-40_S270_L001_R1_001.fastq.gz.aln.sam	HH190601-04-40_S270_L001_R1_001.fastq.gz	sebastes_spp
HH190706-02-20_S276_L001_R1_001.fastq.gz.aln.sam	HH190706-02-20_S276_L001_R1_001.fastq.gz	sebastes_spp
HH190706-03-21_S277_L001_R1_001.fastq.gz.aln.sam	HH190706-03-21_S277_L001_R1_001.fastq.gz	sebastes_spp
